implementation,N_points,N_threads,A,B,time
s,100000,1,0.00001000,0.00010000,0.01011075
s,100000,1,0.00010000,0.00100000,0.00817201
s,100000,1,0.00100000,0.01000000,0.00787080
s,100000,1,0.01000000,0.10000000,0.00765590
s,100000,1,0.10000000,1.00000000,0.00794329
s,100000,1,1.00000000,10.00000000,0.00588518
s,100000,1,10.00000000,100.00000000,0.00574184
s,100000,1,100.00000000,1000.00000000,0.00573245
s,100000,2,0.00001000,0.00010000,0.00964624
s,100000,2,0.00010000,0.00100000,0.00810823
s,100000,2,0.00100000,0.01000000,0.00780097
s,100000,2,0.01000000,0.10000000,0.00757814
s,100000,2,0.10000000,1.00000000,0.00723232
s,100000,2,1.00000000,10.00000000,0.00589547
s,100000,2,10.00000000,100.00000000,0.00574334
s,100000,2,100.00000000,1000.00000000,0.00608590
s,100000,3,0.00001000,0.00010000,0.00971174
s,100000,3,0.00010000,0.00100000,0.00819535
s,100000,3,0.00100000,0.01000000,0.00786000
s,100000,3,0.01000000,0.10000000,0.00762561
s,100000,3,0.10000000,1.00000000,0.00726775
s,100000,3,1.00000000,10.00000000,0.00591295
s,100000,3,10.00000000,100.00000000,0.00576545
s,100000,3,100.00000000,1000.00000000,0.00575879
s,100000,4,0.00001000,0.00010000,0.00967184
s,100000,4,0.00010000,0.00100000,0.00816436
s,100000,4,0.00100000,0.01000000,0.00785546
s,100000,4,0.01000000,0.10000000,0.00763499
s,100000,4,0.10000000,1.00000000,0.00729112
s,100000,4,1.00000000,10.00000000,0.00593682
s,100000,4,10.00000000,100.00000000,0.00578868
s,100000,4,100.00000000,1000.00000000,0.00578609
s,100000,5,0.00001000,0.00010000,0.00970439
s,100000,5,0.00010000,0.00100000,0.00816987
s,100000,5,0.00100000,0.01000000,0.00785584
s,100000,5,0.01000000,0.10000000,0.00763664
s,100000,5,0.10000000,1.00000000,0.00729536
s,100000,5,1.00000000,10.00000000,0.00594006
s,100000,5,10.00000000,100.00000000,0.00579015
s,100000,5,100.00000000,1000.00000000,0.00578609
s,100000,6,0.00001000,0.00010000,0.00972972
s,100000,6,0.00010000,0.00100000,0.00817033
s,100000,6,0.00100000,0.01000000,0.00788240
s,100000,6,0.01000000,0.10000000,0.00759099
s,100000,6,0.10000000,1.00000000,0.00726681
s,100000,6,1.00000000,10.00000000,0.00591161
s,100000,6,10.00000000,100.00000000,0.00576446
s,100000,6,100.00000000,1000.00000000,0.00575957
s,100000,7,0.00001000,0.00010000,0.00966966
s,100000,7,0.00010000,0.00100000,0.00813996
s,100000,7,0.00100000,0.01000000,0.00781963
s,100000,7,0.01000000,0.10000000,0.00760306
s,100000,7,0.10000000,1.00000000,0.00726640
s,100000,7,1.00000000,10.00000000,0.00591512
