sim_method,dims,nthreads,time
similarity_shared,128,16,0.0015804539998498512
similarity_shared,256,16,0.0018855079997592838
similarity_shared,512,16,0.004577788999085897
similarity_shared,1024,16,0.014484510998954647
similarity_shared,2048,16,0.052441314999668975
similarity_global,128,16,0.0015375029997812817
similarity_global,256,16,0.002091287000439479
similarity_global,512,16,0.007646578998901532
similarity_global,1024,16,0.051810674000080326
similarity_global,2048,16,0.3908750909995433
similarity_sequential,128,16,0.14508397600002354
similarity_sequential,256,16,0.6110575639995659
similarity_sequential,512,16,2.7818099739997706
similarity_sequential,1024,16,11.673679375000575
similarity_sequential,2048,16,54.26016210200032
